,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries
7,Euro area,EMU,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,99.43286895751949,99.3301773071289,99.2557220458984,99.0368499755859,98.74887084960942,98.6370620727539,98.6631011962891,98.93771362304692,98.9998397827148,99.05133056640629,99.1377410888672,99.0248794555664,99.18164825439449,99.1405563354492,98.86608123779301,,,,223
52,Australia,AUS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,95.60031127929692,95.5914688110352,95.6274185180664,96.1597213745117,96.42868041992192,96.7674102783203,96.9512100219727,97.55316162109379,97.5955810546875,97.5138092041016,97.62960815429692,98.1510772705078,97.9214935302734,97.6394424438477,97.36380004882808,97.4809036254883,,,223
66,Brazil,BRA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,93.51397705078129,97.2598419189453,,93.7057113647461,97.9007034301758,97.5330123901367,,95.40210723876949,97.54641723632808,93.91232299804692,95.2473602294922,95.46453857421879,,,223
110,India,IND,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,76.6243896484375,77.3489532470703,77.7554931640625,87.30584716796879,,,,96.20266723632808,97.6365509033203,96.8782806396484,97.1825485229492,97.1766510009766,97.6989288330078,98.4544525146484,,,,,223
175,Russian Federation,RUS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,93.6199569702148,94.21666717529301,95.3374176025391,96.98058319091801,,97.85205841064449,97.96649169921879,98.1236114501953,96.9180221557617,98.16448974609379,,,223
213,United Kingdom,GBR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,99.9832305908203,,99.8497772216797,99.9861221313477,99.3607635498047,99.9904632568359,99.86939239501949,97.9409866333008,99.0436477661133,98.7109527587891,99.424560546875,99.7648162841797,99.72775268554692,,,,,,223
214,United States,USA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.7367782592773,98.0378265380859,96.7921829223633,96.1709671020508,95.1438522338867,95.99459838867192,97.2575531005859,97.8554534912109,97.9434280395508,97.0973587036133,95.13818359375,94.67456817626949,94.10391235351558,93.81774139404301,94.4320602416992,94.7655410766602,,,223
230,Euro area,EMU,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,99.27574920654301,99.24481201171879,99.2149124145508,99.11065673828129,98.82955932617192,98.8540496826172,98.95516967773442,99.1496429443359,99.1692962646484,99.0953598022461,99.0989608764648,98.9504776000977,98.9662628173828,99.06973266601558,98.9699325561523,,,,223
275,Australia,AUS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,92.75646209716801,92.53543090820308,92.6446380615234,93.2402191162109,93.7044296264648,94.2997283935547,94.7641983032227,95.7028274536133,95.8959121704102,96.20364379882808,96.60948944091801,97.400146484375,97.40234375,97.27072143554692,96.9239730834961,96.8566665649414,,,223
289,Brazil,BRA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,97.56951904296879,94.9416275024414,,91.3162612915039,99.1493301391602,95.6996002197266,,95.9825897216797,93.63819122314449,93.65097045898442,94.2078094482422,94.11717987060551,,,223
333,India,IND,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,91.01116943359379,90.1781005859375,89.418701171875,89.967529296875,,,,97.6542282104492,96.4030532836914,94.5349807739258,95.3053970336914,94.4972610473633,96.3453369140625,97.0987701416016,,,,,223
398,Russian Federation,RUS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,92.0622787475586,92.9242935180664,94.2554397583008,95.5096282958984,,96.70941162109379,96.7173690795898,96.9176712036133,95.5400924682617,96.8639068603516,,,223
436,United Kingdom,GBR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,99.9229278564453,,99.7346725463867,99.83397674560551,99.2154998779297,99.9981307983398,99.3821563720703,97.47583770751949,99.0913925170898,98.74819946289058,99.42150115966801,99.7127304077148,99.87120819091801,,,,,,223
437,United States,USA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,97.5029067993164,96.62085723876949,95.25357055664058,94.9310836791992,93.763427734375,94.5888671875,95.29583740234379,96.5214080810547,97.04943084716801,95.0139923095703,94.46875,93.24649047851558,94.1146087646484,93.83361053466801,93.6527862548828,94.1588134765625,,,223
453,Euro area,EMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,11.313344158276895,11.323611840696573,11.322907073824387,11.127715260423123,10.923042822646927,10.714764880250744,10.503006828339377,10.293945768857636,9.955683270756888,9.618068684559313,9.281099463989664,8.94254547476427,8.605500270384871,8.232850131836011,7.867634726344402,7.51192008767915,,,240
