,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries
4,East Asia & Pacific,EAS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,94.7107467651367,95.1851425170898,97.3135986328125,97.0093994140625,97.01516723632808,94.88329315185551,94.4098892211914,95.49008178710942,95.52391815185551,95.8589630126953,96.2385482788086,96.73403930664058,96.4490814208984,96.22728729248051,96.19481658935551,,,,223
8,Europe & Central Asia,ECS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,96.2544403076172,97.0691375732422,97.5709075927734,97.26367950439449,97.2881011962891,96.47265625,96.6062774658203,96.7333526611328,96.9741668701172,96.90704345703129,97.23278045654301,97.3063125610352,97.2518692016602,97.29100799560551,97.0324935913086,,,,223
21,Latin America & Caribbean,LCN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,95.6178207397461,95.6361923217773,95.57623291015629,94.58081817626949,95.0690689086914,95.5862808227539,95.05516815185551,94.6057586669922,95.3840789794922,95.7433700561523,95.8192291259766,95.63587188720699,95.3086090087891,94.4047393798828,94.1983108520508,,,,223
27,Middle East & North Africa,MEA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,81.11228942871091,83.7024383544922,85.9817962646484,87.12515258789058,88.4317398071289,89.1037063598633,89.4705963134766,90.7687530517578,91.3146591186523,91.8878707885742,93.3065872192383,93.5886001586914,94.07565307617192,93.5063629150391,93.2148666381836,,,,223
38,South Asia,SAS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,71.9742889404297,72.7294235229492,74.2219009399414,82.2056503295898,84.80799865722659,86.84339141845699,88.7142181396484,90.904296875,91.68927001953129,91.81104278564449,92.18270874023442,92.0975494384766,92.58740997314449,92.90847778320308,92.9776229858398,,,,223
40,Sub-Saharan Africa,SSF,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,56.5662117004395,58.4893188476563,60.0616798400879,62.5394287109375,64.5786590576172,66.9214324951172,68.9610595703125,70.9542465209961,72.33836364746091,72.9445495605469,73.0819931030273,74.2904815673828,75.3800430297852,76.1621322631836,76.70359802246091,,,,223
227,East Asia & Pacific,EAS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,95.1860580444336,95.6207122802734,97.6580276489258,97.55917358398442,96.3267974853516,95.45565795898442,94.9846725463867,95.84264373779301,95.92028045654301,96.26016235351558,96.1001434326172,96.02993774414058,96.2082366943359,95.9738006591797,96.2198028564453,,,,223
231,Europe & Central Asia,ECS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,97.02401733398442,97.86746215820308,98.3553924560547,98.0504913330078,97.97708129882808,96.98851776123051,97.04849243164058,96.98638916015629,97.2785263061523,97.05113983154301,97.3146133422852,97.3508987426758,97.24755096435551,97.3207168579102,97.01220703125,,,,223
244,Latin America & Caribbean,LCN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,95.7012100219727,96.1764602661133,96.6394424438477,95.9700088500977,95.7394180297852,94.7464828491211,94.1122665405273,93.7207183837891,95.390380859375,95.1952896118164,95.44788360595699,95.5167007446289,94.41039276123051,94.2029800415039,93.7614517211914,,,,223
250,Middle East & North Africa,MEA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,87.8984222412109,90.2158737182617,92.0095977783203,92.549072265625,93.78050994873051,94.1685562133789,94.3267135620117,94.8590621948242,95.19912719726558,95.6410903930664,96.7225494384766,97.0892181396484,97.3346786499023,96.3023681640625,95.9057464599609,,,,223
261,South Asia,SAS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,86.2984466552734,85.8608703613281,86.0616836547852,86.9744033813477,89.47315216064449,91.25430297851558,92.36219024658199,94.0368423461914,93.0643463134766,91.6748275756836,92.7473907470703,92.0524368286133,93.3530502319336,93.7213363647461,94.04656982421879,,,,223
263,Sub-Saharan Africa,SSF,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,63.8276901245117,65.3894882202148,66.888786315918,69.0924072265625,70.5178985595703,72.6110610961914,73.9848175048828,77.1966018676758,77.8523635864258,78.0020217895508,77.78370666503909,78.9604187011719,79.61302185058591,80.343147277832,80.7898178100586,,,,223
450,East Asia & Pacific,EAS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,19.424304986022843,19.02556144709745,18.525178709023614,18.154578087315453,17.92703102292875,17.8947961595168,17.988621212231678,18.27443984369501,18.774250528257788,19.34528003290322,19.88018568081836,20.370213929171566,20.793179745010047,21.109879048257852,21.38457137431524,21.637005993582633,,,240
454,Europe & Central Asia,ECS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,25.679367186095917,24.541698697433706,23.38940739564444,23.340978080962547,23.273673362827314,23.171238950183675,23.014502898256346,22.805832698222147,22.203225535126357,21.614454495500716,21.04070854325212,20.446941489739483,19.847689212430208,18.93602402367404,18.048010305314573,17.180585305026323,,,240
467,Latin America & Caribbean,LCN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,80.70048650318923,79.72967141453309,78.73822695186851,77.03365095837479,75.3445986664354,73.67777350939926,72.02776841692022,70.3929516111713,69.64517679707866,68.89231534811424,68.1318682258333,67.36629874515812,66.59531424557015,65.62205734649677,64.64987330416696,63.675705239311284,,,240
