,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries,Gender
27,Middle East & North Africa,"Adjusted net enrollment rate, primary,  (% of primary school age children)",81.11228942871091,83.7024383544922,85.9817962646484,87.12515258789058,88.4317398071289,89.1037063598633,89.4705963134766,90.7687530517578,91.3146591186523,91.8878707885742,93.3065872192383,93.5886001586914,94.07565307617192,93.5063629150391,93.2148666381836,,,,223,F
89,"Egypt, Arab Rep.","Adjusted net enrollment rate, primary,  (% of primary school age children)",86.00074005126949,88.10626220703129,90.20816040039058,92.43360137939449,95.35739135742192,,,,,,,,99.4419174194336,,99.36022186279301,,,,223,F
112,"Iran, Islamic Rep.","Adjusted net enrollment rate, primary,  (% of primary school age children)",83.6859893798828,,91.7107086181641,91.55609130859379,94.76699829101558,94.96347045898442,,99.8273696899414,,,,,,,,,,,223,F
113,Iraq,"Adjusted net enrollment rate, primary,  (% of primary school age children)",82.0559463500977,,,,86.6890487670898,,,86.58676147460942,,,,,,,,,,,223,F
115,Israel,"Adjusted net enrollment rate, primary,  (% of primary school age children)",97.6268463134766,98.3889617919922,98.07510375976558,98.1772232055664,97.9246063232422,97.8710174560547,97.53128051757808,97.7566680908203,97.6840591430664,97.3003311157227,97.77100372314449,97.3709030151367,97.9855117797852,97.52182006835942,97.36096954345699,97.89550018310551,,,223,F
128,Lebanon,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,96.34960174560551,93.92127227783199,89.11608123779301,85.8075408935547,86.74468994140629,87.6194076538086,88.4230728149414,90.14151000976558,89.99432373046879,87.1266403198242,85.9391098022461,81.1452713012695,80.8043212890625,,,223,F
150,Morocco,"Adjusted net enrollment rate, primary,  (% of primary school age children)",71.5322723388672,76.4928665161133,81.3227615356445,83.0618896484375,83.12281799316409,84.18360900878909,85.6515884399414,87.3433837890625,88.7487335205078,89.85653686523442,94.3357391357422,97.0650787353516,97.6965103149414,98.8036727905273,98.8067779541016,,,,223,F
180,Saudi Arabia,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,,,,,84.36712646484379,90.4727020263672,91.2072601318359,93.9006881713867,94.7799224853516,94.9522171020508,98.4564437866211,,,223,F
199,Syrian Arab Republic,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,,98.2294692993164,98.1569976806641,98.2438583374023,98.0221176147461,,,,70.1377716064453,,,,,223,F
212,United Arab Emirates,"Adjusted net enrollment rate, primary,  (% of primary school age children)",82.157600402832,80.4072723388672,83.80198669433591,90.0297012329102,92.9952163696289,95.972412109375,97.67247772216801,96.6722412109375,,91.69921112060551,95.2440338134766,93.4494781494141,95.9181900024414,95.8515625,96.3920135498047,95.7115478515625,,,223,F
