,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries,Gender
38,South Asia,"Adjusted net enrollment rate, primary,  (% of primary school age children)",71.9742889404297,72.7294235229492,74.2219009399414,82.2056503295898,84.80799865722659,86.84339141845699,88.7142181396484,90.904296875,91.68927001953129,91.81104278564449,92.18270874023442,92.0975494384766,92.58740997314449,92.90847778320308,92.9776229858398,,,,223,F
56,Bangladesh,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,98.1228485107422,99.1291885375977,,94.0647201538086,97.8560333251953,99.9832305908203,,,,,,,,223,F
63,Bhutan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",56.1773910522461,59.8666801452637,,,,73.0779571533203,77.2356872558594,,83.288932800293,87.94525146484379,90.17388916015629,90.72836303710942,92.1305465698242,90.4198684692383,90.2596588134766,,,,223,F
110,India,"Adjusted net enrollment rate, primary,  (% of primary school age children)",76.6243896484375,77.3489532470703,77.7554931640625,87.30584716796879,,,,96.20266723632808,97.6365509033203,96.8782806396484,97.1825485229492,97.1766510009766,97.6989288330078,98.4544525146484,,,,,223,F
139,Maldives,"Adjusted net enrollment rate, primary,  (% of primary school age children)",97.5575637817383,98.7338485717773,98.6156005859375,,,98.35633087158199,97.6662368774414,96.9379119873047,91.7586669921875,95.7614364624023,,,,,,,95.9987106323242,,223,F
155,Nepal,"Adjusted net enrollment rate, primary,  (% of primary school age children)",64.563102722168,,,74.5465316772461,75.4053268432617,,,,,,,97.9371109008789,,,93.9715576171875,96.3591537475586,96.7331771850586,,223,F
163,Pakistan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,47.573699951171896,51.0946197509766,56.0901985168457,59.4898681640625,58.3122406005859,64.42514038085939,65.55019378662111,67.30776977539061,68.4845123291016,66.0496292114258,66.149299621582,64.9124221801758,66.9319381713867,67.8806304931641,,,223,F
190,Sri Lanka,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,99.71314239501949,,97.23755645751949,96.4642562866211,96.01416778564449,95.1051177978516,92.7358169555664,94.2190933227539,94.1886215209961,94.3769912719727,95.5311965942383,96.44976806640629,,,,223,F
261,South Asia,"Adjusted net enrollment rate, primary,  (% of primary school age children)",86.2984466552734,85.8608703613281,86.0616836547852,86.9744033813477,89.47315216064449,91.25430297851558,92.36219024658199,94.0368423461914,93.0643463134766,91.6748275756836,92.7473907470703,92.0524368286133,93.3530502319336,93.7213363647461,94.04656982421879,,,,223,M
279,Bangladesh,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,92.7323226928711,92.7150726318359,,91.6670684814453,89.8929901123047,90.0832901000977,,,,,,,,223,M
286,Bhutan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",62.0910491943359,65.5126113891602,,,,72.80628967285159,76.2274703979492,,80.8761367797852,85.1254425048828,86.8551788330078,87.55172729492192,89.3458709716797,87.9401626586914,87.7419204711914,,,,223,M
333,India,"Adjusted net enrollment rate, primary,  (% of primary school age children)",91.01116943359379,90.1781005859375,89.418701171875,89.967529296875,,,,97.6542282104492,96.4030532836914,94.5349807739258,95.3053970336914,94.4972610473633,96.3453369140625,97.0987701416016,,,,,223,M
362,Maldives,"Adjusted net enrollment rate, primary,  (% of primary school age children)",96.7709121704102,97.1549606323242,97.0994110107422,,,98.05091094970699,98.0228271484375,96.4979705810547,92.10584259033199,97.2569808959961,,,,,,,93.7350311279297,,223,M
378,Nepal,"Adjusted net enrollment rate, primary,  (% of primary school age children)",80.3444900512695,,,85.9782333374023,86.4651107788086,,,,,,,99.2900238037109,,,95.3169403076172,97.8581695556641,97.46542358398442,,223,M
386,Pakistan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,69.86086273193361,70.33054351806639,76.53675842285159,77.3954086303711,73.712043762207,77.3496627807617,77.8070907592773,78.85772705078129,80.3893814086914,76.98046875,76.05003356933591,74.7992477416992,78.5727920532227,79.3803024291992,,,223,M
413,Sri Lanka,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,99.5233993530273,,97.2677764892578,96.98474884033199,96.71011352539058,95.9704971313477,94.00112915039058,95.8600311279297,96.1798934936523,96.35913848876949,97.4861831665039,98.2091827392578,,,,223,M
485,South Asia,"Adolescent fertility rate (births per 1,000 women ages 15-19)",71.61759830975397,68.41197044361614,65.2097092619951,62.38459741148754,59.56771519857372,56.758338850850656,53.93363926701888,51.11629020321385,48.68751159368919,46.26757983072711,43.85663839800331,41.46113613670257,39.05850013176442,37.01933355519861,34.96506065517127,32.89421897738952,,,240,N
492,Afghanistan,"Adolescent fertility rate (births per 1,000 women ages 15-19)",153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,71.2034,,,240,N
505,Bangladesh,"Adolescent fertility rate (births per 1,000 women ages 15-19)",112.3716,109.2808,106.19,103.6674,101.1448,98.6222,96.0996,93.57700000000001,91.9356,90.2942,88.6528,87.0114,85.37,84.43,83.49,82.55,,,240,N
511,Bhutan,"Adolescent fertility rate (births per 1,000 women ages 15-19)",78.891,74.509,70.127,65.9384,61.7498,57.5612,53.3726,49.184,44.891999999999996,40.6,36.308,32.016,27.724,25.209,22.694000000000003,20.179000000000002,,,240,N
571,India,"Adolescent fertility rate (births per 1,000 women ages 15-19)",66.8582,63.5316,60.205,57.0818,53.9586,50.8354,47.7122,44.589,41.75899999999999,38.929,36.099000000000004,33.269,30.439,28.0568,25.6746,23.2924,,,240,N
601,Maldives,"Adolescent fertility rate (births per 1,000 women ages 15-19)",33.6268,28.7764,23.926,21.9898,20.0536,18.1174,16.1812,14.245,13.276,12.307,11.338,10.369000000000002,9.4,8.338,7.276,6.2139999999999995,,,240,N
615,Nepal,"Adolescent fertility rate (births per 1,000 women ages 15-19)",117.7428,114.3694,110.99600000000001,107.5632,104.1304,100.6976,97.2648,93.83200000000001,90.0664,86.3008,82.5352,78.7696,75.00399999999999,73.7654,72.5268,71.2882,,,240,N
624,Pakistan,"Adolescent fertility rate (births per 1,000 women ages 15-19)",51.4684,48.7032,45.938,45.0736,44.2092,43.3448,42.4804,41.61600000000001,41.4576,41.2992,41.1408,40.9824,40.824,39.99,39.156,38.321999999999996,,,240,N
652,Sri Lanka,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.4064,28.1552,27.904,26.781,25.658,24.535,23.412,22.289,21.3866,20.4842,19.5818,18.6794,17.777,16.569000000000003,15.360999999999999,14.152999999999999,,,240,N
