,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries,Gender
40,Sub-Saharan Africa,"Adjusted net enrollment rate, primary,  (% of primary school age children)",56.5662117004395,58.4893188476563,60.0616798400879,62.5394287109375,64.5786590576172,66.9214324951172,68.9610595703125,70.9542465209961,72.33836364746091,72.9445495605469,73.0819931030273,74.2904815673828,75.3800430297852,76.1621322631836,76.70359802246091,,,,223,F
73,Central African Republic,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,40.808479309081996,40.888618469238295,47.660701751709006,56.5169906616211,56.982738494873,59.6173095703125,58.5522994995117,62.3687896728516,,,,,,223,F
91,Equatorial Guinea,"Adjusted net enrollment rate, primary,  (% of primary school age children)",59.4969291687012,68.74072265625,66.0280914306641,66.4728622436523,,,,,52.327121734619105,52.383670806884794,52.8534812927246,55.335109710693395,57.8743209838867,,,56.9866218566895,,,223,F
104,Guinea,"Adjusted net enrollment rate, primary,  (% of primary school age children)",37.6289482116699,41.3990898132324,48.3333511352539,52.2188301086426,55.633148193359396,58.2348289489746,61.064380645752,63.0885009765625,61.93550109863279,63.058040618896506,64.0977325439453,68.8764190673828,68.17147827148439,68.9025192260742,72.24021911621091,,,,223,F
105,Guinea-Bissau,"Adjusted net enrollment rate, primary,  (% of primary school age children)",38.7337417602539,,,,,,,,,,67.55029296875,,,,,,,,223,F
160,Nigeria,"Adjusted net enrollment rate, primary,  (% of primary school age children)",60.2457618713379,,,,62.9625015258789,63.6245803833008,64.7063522338867,63.983638763427706,58.218910217285206,59.531681060790994,59.9719314575195,,,,,,,,223,F
166,Papua New Guinea,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,,,,,,,,83.6256866455078,,,,,,223,F
187,South Africa,"Adjusted net enrollment rate, primary,  (% of primary school age children)",94.7603530883789,95.01931762695308,95.1300201416016,95.1537933349609,94.95477294921879,93.9797821044922,,,,,,,,,,,,,223,F
188,South Sudan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,,,,,,,33.7448692321777,,,,26.744600296020497,,,223,F
194,Sudan,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,,,,,,,53.949668884277294,56.05561828613279,,,,,,223,F
263,Sub-Saharan Africa,"Adjusted net enrollment rate, primary,  (% of primary school age children)",63.8276901245117,65.3894882202148,66.888786315918,69.0924072265625,70.5178985595703,72.6110610961914,73.9848175048828,77.1966018676758,77.8523635864258,78.0020217895508,77.78370666503909,78.9604187011719,79.61302185058591,80.343147277832,80.7898178100586,,,,223,M
296,Central African Republic,"Adjusted net enrollment rate, primary,  (% of primary school age children)",,,,,,56.2289505004883,56.8553810119629,66.7378463745117,76.5650100708008,77.4016418457031,79.8940887451172,77.101692199707,79.4247970581055,,,,,,223,M
314,Equatorial Guinea,"Adjusted net enrollment rate, primary,  (% of primary school age children)",73.6944198608398,78.8596115112305,77.2744598388672,73.6776504516602,,,,,53.6010818481445,53.1029586791992,53.126369476318395,55.2702293395996,57.9057807922363,,,56.610191345214794,,,223,M
